domain,items,raw_tokens,codec_tokens,saved_pct,factor,lossless
Long In-context Learning,471,249853,246484,1.3,1.014,True
Single-Document QA,96,40757,40413,0.8,1.009,True
Multi-Document QA,691,501264,463761,7.5,1.081,True
Single-Document QA,1,130564,130564,0.0,1.0,True
Single-Document QA,34,24702,24671,0.1,1.001,True
Single-Document QA,1,140312,140312,0.0,1.0,True
Long-dialogue History Understanding,94,41633,4613,88.9,9.025,True
Code Repository Understanding,7746,476422,448697,5.8,1.062,True
Multi-Document QA,76,61124,60396,1.2,1.012,True
Single-Document QA,14,95686,95686,0.0,1.0,True
Code Repository Understanding,2871,1059437,999399,5.7,1.06,True
Long In-context Learning,43,108351,103614,4.4,1.046,True
Single-Document QA,1291,309507,309490,0.0,1.0,True
Single-Document QA,1,99861,99861,0.0,1.0,True
Long In-context Learning,874,156531,143902,8.1,1.088,True
Multi-Document QA,118,64663,64611,0.1,1.001,True
Multi-Document QA,402,270412,255580,5.5,1.058,True
Single-Document QA,1,129148,129148,0.0,1.0,True
Multi-Document QA,419,262336,253601,3.3,1.034,True
Multi-Document QA,216,219976,197683,10.1,1.113,True
Multi-Document QA,59,41480,40572,2.2,1.022,True
Single-Document QA,24,17003,16613,2.3,1.023,True
Long Structured Data Understanding,50,217874,217803,0.0,1.0,True
Long In-context Learning,97,156715,145842,6.9,1.075,True
Single-Document QA,20,22676,20724,8.6,1.094,True
Multi-Document QA,89,52446,50684,3.4,1.035,True
Single-Document QA,51,14651,14583,0.5,1.005,True
Multi-Document QA,37,27936,27560,1.3,1.014,True
Multi-Document QA,296,487156,463093,4.9,1.052,True
Long In-context Learning,265,123866,93944,24.2,1.319,True
Single-Document QA,135,97816,92852,5.1,1.053,True
Single-Document QA,1,338930,338930,0.0,1.0,True
Long Structured Data Understanding,30,128372,128337,0.0,1.0,True
Long In-context Learning,2669,1310242,966960,26.2,1.355,True
Multi-Document QA,176,189407,177028,6.5,1.07,True
Code Repository Understanding,11897,1033067,745278,27.9,1.386,True
Single-Document QA,3251,80284,80284,0.0,1.0,True
Multi-Document QA,337,207680,207662,0.0,1.0,True
Single-Document QA,158,77933,77057,1.1,1.011,True
Multi-Document QA,24,29616,25424,14.2,1.165,True
Multi-Document QA,46,16136,15779,2.2,1.023,True
Long Structured Data Understanding,9,61506,61506,0.0,1.0,True
Long In-context Learning,97,156715,145842,6.9,1.075,True
Single-Document QA,64,22101,21556,2.5,1.025,True
Long Structured Data Understanding,1,104863,104863,0.0,1.0,True
Single-Document QA,496,305347,305095,0.1,1.001,True
Long In-context Learning,892,608200,578686,4.9,1.051,True
Long-dialogue History Understanding,82,21893,5666,74.1,3.864,True
Single-Document QA,53,50021,49963,0.1,1.001,True
Single-Document QA,22,16394,16392,0.0,1.0,True
Single-Document QA,215,78890,76105,3.5,1.037,True
Single-Document QA,30,21462,21462,0.0,1.0,True
Multi-Document QA,44,25747,25661,0.3,1.003,True
Long In-context Learning,471,249849,246423,1.4,1.014,True
Multi-Document QA,44,17027,15054,11.6,1.131,True
Single-Document QA,166,82112,78390,4.5,1.047,True
Long Structured Data Understanding,26,48773,48773,0.0,1.0,True
Long Structured Data Understanding,1,382031,382031,0.0,1.0,True
Code Repository Understanding,5915,394621,324555,17.8,1.216,True
Multi-Document QA,5,15385,15385,0.0,1.0,True
Single-Document QA,1,30336,30336,0.0,1.0,True
Single-Document QA,198,82205,82205,0.0,1.0,True
Single-Document QA,457,173172,173172,0.0,1.0,True
Single-Document QA,3484,105911,105911,0.0,1.0,True
Single-Document QA,1,150471,150471,0.0,1.0,True
Long In-context Learning,401,632661,632661,0.0,1.0,True
Multi-Document QA,17,16254,15419,5.1,1.054,True
Single-Document QA,44,23322,23322,0.0,1.0,True
Single-Document QA,1,119885,119885,0.0,1.0,True
Multi-Document QA,231,161273,158494,1.7,1.018,True
Single-Document QA,2,207693,207693,0.0,1.0,True
Long In-context Learning,265,123866,93944,24.2,1.319,True
Code Repository Understanding,1642,80439,68216,15.2,1.179,True
Long-dialogue History Understanding,54,137459,130678,4.9,1.052,True
Long In-context Learning,401,632661,632661,0.0,1.0,True
Single-Document QA,22,16515,16370,0.9,1.009,True
Multi-Document QA,340,222640,221856,0.4,1.004,True
Single-Document QA,24,16160,15550,3.8,1.039,True
Single-Document QA,3316,103425,103425,0.0,1.0,True
Single-Document QA,24,13984,13984,0.0,1.0,True
Multi-Document QA,38,30663,30056,2.0,1.02,True
Single-Document QA,104,30932,30932,0.0,1.0,True
Long Structured Data Understanding,1,137728,137728,0.0,1.0,True
Single-Document QA,3316,103425,103425,0.0,1.0,True
Long In-context Learning,558,241729,238905,1.2,1.012,True
Single-Document QA,3484,105911,105911,0.0,1.0,True
Long-dialogue History Understanding,78,23061,3383,85.3,6.817,True
Multi-Document QA,18,21633,21506,0.6,1.006,True
Single-Document QA,78,50363,49988,0.7,1.008,True
Long In-context Learning,388,115540,107099,7.3,1.079,True
Multi-Document QA,36,26189,25804,1.5,1.015,True
Single-Document QA,17,17524,17507,0.1,1.001,True
Single-Document QA,15,18156,18002,0.8,1.009,True
Multi-Document QA,269,189892,186136,2.0,1.02,True
Multi-Document QA,200,122014,116373,4.6,1.048,True
Single-Document QA,13,14406,14386,0.1,1.001,True
Single-Document QA,337,260145,257430,1.0,1.011,True
Long-dialogue History Understanding,83,28039,3321,88.2,8.443,True
Single-Document QA,159,128583,119129,7.4,1.079,True
Multi-Document QA,89,78610,77795,1.0,1.01,True
Multi-Document QA,143,55482,52609,5.2,1.055,True
Multi-Document QA,196,184420,165838,10.1,1.112,True
Long In-context Learning,619,243497,212656,12.7,1.145,True
Multi-Document QA,55,52342,51382,1.8,1.019,True
Long In-context Learning,97,156715,145842,6.9,1.075,True
Multi-Document QA,78,39851,39764,0.2,1.002,True
Multi-Document QA,59,70308,68624,2.4,1.025,True
Single-Document QA,372,238685,218811,8.3,1.091,True
Long In-context Learning,339,226692,226639,0.0,1.0,True
Single-Document QA,161,65153,57104,12.4,1.141,True
Long-dialogue History Understanding,83,27713,4169,85.0,6.647,True
Multi-Document QA,249,230025,223370,2.9,1.03,True
Multi-Document QA,92,12111,12111,0.0,1.0,True
Long Structured Data Understanding,1,196457,196457,0.0,1.0,True
Multi-Document QA,63,74144,72581,2.1,1.022,True
Single-Document QA,7629,485847,485847,0.0,1.0,True
Long Structured Data Understanding,62,318816,316620,0.7,1.007,True
Multi-Document QA,25,32055,31369,2.1,1.022,True
Long In-context Learning,272,70716,56047,20.7,1.262,True
Single-Document QA,40,24141,24141,0.0,1.0,True
Multi-Document QA,241,300869,258088,14.2,1.166,True
Long In-context Learning,265,123866,93944,24.2,1.319,True
Single-Document QA,32,17022,16694,1.9,1.02,True
Code Repository Understanding,1125,112476,100323,10.8,1.121,True
Code Repository Understanding,7682,480731,445360,7.4,1.079,True
Single-Document QA,115,58955,57554,2.4,1.024,True
Long-dialogue History Understanding,51,133503,128565,3.7,1.038,True
Single-Document QA,411,221691,195969,11.6,1.131,True
Single-Document QA,1369,103444,103440,0.0,1.0,True
Long In-context Learning,471,249853,246484,1.3,1.014,True
Multi-Document QA,242,86063,83830,2.6,1.027,True
Long In-context Learning,401,632661,632661,0.0,1.0,True
Long Structured Data Understanding,1,137728,137728,0.0,1.0,True
Multi-Document QA,39,39222,38119,2.8,1.029,True
Long-dialogue History Understanding,54,134717,129428,3.9,1.041,True
Multi-Document QA,167,118627,110612,6.8,1.072,True
Single-Document QA,3252,80287,80287,0.0,1.0,True
Single-Document QA,43,33939,32192,5.1,1.054,True
Single-Document QA,1552,574917,574778,0.0,1.0,True
Single-Document QA,181,123818,120483,2.7,1.028,True
Code Repository Understanding,3368,307332,283899,7.6,1.083,True
Multi-Document QA,101,52508,52437,0.1,1.001,True
Long In-context Learning,959,503503,468989,6.9,1.074,True
Code Repository Understanding,67340,3986549,2818012,29.3,1.415,True
Single-Document QA,1,109662,109662,0.0,1.0,True
Multi-Document QA,102,59704,57972,2.9,1.03,True
Single-Document QA,118,116887,114072,2.4,1.025,True
