model,arm,budget,task,acc,in_tokens,gold_visible,latency_s
llama3.2:1b,full,500,0,1,1270,1,29.45
llama3.2:1b,full,500,1,1,1404,1,29.3
llama3.2:1b,full,500,2,0,1470,1,23.98
llama3.2:1b,full,500,3,1,1465,1,21.97
llama3.2:1b,recency,500,0,0,522,0,11.88
llama3.2:1b,recency,500,1,0,522,0,2.65
llama3.2:1b,recency,500,2,0,518,0,8.63
llama3.2:1b,recency,500,3,0,653,0,9.8
llama3.2:1b,digest,500,0,0,606,0,11.97
llama3.2:1b,digest,500,1,0,581,0,11.91
llama3.2:1b,digest,500,2,0,563,0,10.29
llama3.2:1b,digest,500,3,0,559,0,9.35
llama3.2:1b,reactive_afm,500,0,0,648,0,13.28
llama3.2:1b,reactive_afm,500,1,0,665,0,10.75
llama3.2:1b,reactive_afm,500,2,0,647,0,10.94
llama3.2:1b,reactive_afm,500,3,0,643,0,9.59
llama3.2:1b,foveance,500,0,0,648,0,2.53
llama3.2:1b,foveance,500,1,0,665,0,10.19
llama3.2:1b,foveance,500,2,0,647,0,2.62
llama3.2:1b,foveance,500,3,0,643,0,8.88
llama3.2:1b,codec,500,0,1,488,1,10.47
llama3.2:1b,codec,500,1,1,486,1,10.72
llama3.2:1b,codec,500,2,1,487,1,8.27
llama3.2:1b,codec,500,3,1,485,1,4.72
llama3.2:1b,foveance+codec,500,0,0,474,0,8.16
llama3.2:1b,foveance+codec,500,1,0,474,0,12.01
llama3.2:1b,foveance+codec,500,2,0,473,0,8.26
llama3.2:1b,foveance+codec,500,3,0,460,0,6.15
qwen2.5:1.5b,full,500,0,1,1343,1,26.96
qwen2.5:1.5b,full,500,1,1,1510,1,26.0
qwen2.5:1.5b,full,500,2,1,1593,1,21.56
qwen2.5:1.5b,full,500,3,1,1589,1,20.52
qwen2.5:1.5b,recency,500,0,0,538,0,10.59
qwen2.5:1.5b,recency,500,1,0,538,0,5.14
qwen2.5:1.5b,recency,500,2,0,534,0,9.82
qwen2.5:1.5b,recency,500,3,0,703,0,10.66
qwen2.5:1.5b,digest,500,0,0,612,0,11.84
qwen2.5:1.5b,digest,500,1,0,589,0,11.28
qwen2.5:1.5b,digest,500,2,0,572,0,9.86
qwen2.5:1.5b,digest,500,3,0,568,0,8.93
qwen2.5:1.5b,reactive_afm,500,0,0,657,0,12.38
qwen2.5:1.5b,reactive_afm,500,1,0,679,0,11.17
qwen2.5:1.5b,reactive_afm,500,2,0,662,0,10.54
qwen2.5:1.5b,reactive_afm,500,3,0,658,0,9.79
qwen2.5:1.5b,foveance,500,0,0,657,0,4.13
qwen2.5:1.5b,foveance,500,1,0,679,0,10.13
qwen2.5:1.5b,foveance,500,2,0,662,0,4.14
qwen2.5:1.5b,foveance,500,3,0,658,0,9.7
qwen2.5:1.5b,codec,500,0,1,518,1,10.31
qwen2.5:1.5b,codec,500,1,1,517,1,10.58
qwen2.5:1.5b,codec,500,2,1,519,1,7.49
qwen2.5:1.5b,codec,500,3,1,518,1,5.6
qwen2.5:1.5b,foveance+codec,500,0,0,483,0,8.4
qwen2.5:1.5b,foveance+codec,500,1,0,485,0,7.98
qwen2.5:1.5b,foveance+codec,500,2,0,485,0,8.95
qwen2.5:1.5b,foveance+codec,500,3,0,472,0,5.93
