task,length,items,raw_tokens,codec_tokens,saved_pct,factor,lossless,tpl_saved_pct,tpl_lossless
niah_single,4096,4,3422,125,96.3,27.376,True,96.3,True
niah_single,4096,4,3424,127,96.3,26.961,True,96.3,True
niah_single,4096,4,3422,120,96.5,28.517,True,96.5,True
niah_single,4096,4,3422,126,96.3,27.159,True,96.3,True
niah_single,4096,4,3423,126,96.3,27.167,True,96.3,True
niah_single,4096,4,3424,127,96.3,26.961,True,96.3,True
niah_single,4096,4,3421,124,96.4,27.589,True,96.4,True
niah_single,4096,4,3424,122,96.4,28.066,True,96.4,True
niah_single,4096,4,3423,126,96.3,27.167,True,96.3,True
niah_single,4096,4,3423,127,96.3,26.953,True,96.3,True
niah_single,4096,4,3423,126,96.3,27.167,True,96.3,True
niah_single,4096,4,3422,118,96.6,29.0,True,96.6,True
niah_single,4096,4,3421,125,96.3,27.368,True,96.3,True
niah_single,4096,4,3421,120,96.5,28.508,True,96.5,True
niah_single,4096,4,3423,127,96.3,26.953,True,96.3,True
niah_single,4096,4,3423,127,96.3,26.953,True,96.3,True
niah_single,4096,4,3421,125,96.3,27.368,True,96.3,True
niah_single,4096,4,3422,125,96.3,27.376,True,96.3,True
niah_single,4096,4,3422,126,96.3,27.159,True,96.3,True
niah_single,4096,4,3421,124,96.4,27.589,True,96.4,True
niah_multikey,4096,6,3359,3359,0.0,1.0,True,52.8,True
niah_multikey,4096,6,3340,3340,0.0,1.0,True,53.1,True
niah_multikey,4096,6,3341,3341,0.0,1.0,True,53.1,True
niah_multikey,4096,6,3353,3353,0.0,1.0,True,52.9,True
niah_multikey,4096,6,3353,3353,0.0,1.0,True,52.9,True
niah_multikey,4096,6,3364,3364,0.0,1.0,True,52.7,True
niah_multikey,4096,6,3368,3368,0.0,1.0,True,52.6,True
niah_multikey,4096,6,3358,3358,0.0,1.0,True,52.9,True
niah_multikey,4096,6,3347,3347,0.0,1.0,True,53.1,True
niah_multikey,4096,6,3351,3351,0.0,1.0,True,52.9,True
niah_multikey,4096,6,3354,3354,0.0,1.0,True,52.9,True
niah_multikey,4096,6,3347,3347,0.0,1.0,True,53.1,True
niah_multikey,4096,6,3357,3357,0.0,1.0,True,52.8,True
niah_multikey,4096,6,3362,3362,0.0,1.0,True,52.8,True
niah_multikey,4096,6,3357,3357,0.0,1.0,True,52.8,True
niah_multikey,4096,6,3348,3348,0.0,1.0,True,53.0,True
niah_multikey,4096,6,3345,3345,0.0,1.0,True,53.0,True
niah_multikey,4096,6,3365,3365,0.0,1.0,True,52.8,True
niah_multikey,4096,6,3345,3345,0.0,1.0,True,53.1,True
niah_multikey,4096,6,3359,3359,0.0,1.0,True,52.8,True
qa,4096,22,2901,2901,0.0,1.0,True,0.0,True
qa,4096,22,2795,2795,0.0,1.0,True,0.0,True
qa,4096,22,2852,2852,0.0,1.0,True,0.0,True
qa,4096,22,2592,2592,0.0,1.0,True,0.0,True
qa,4096,22,2836,2836,0.0,1.0,True,0.0,True
qa,4096,22,3230,3230,0.0,1.0,True,0.0,True
qa,4096,22,2978,2978,0.0,1.0,True,0.0,True
qa,4096,22,3228,3228,0.0,1.0,True,0.0,True
qa,4096,22,2739,2739,0.0,1.0,True,0.0,True
qa,4096,22,3118,3118,0.0,1.0,True,0.0,True
qa,4096,22,3006,3006,0.0,1.0,True,0.0,True
qa,4096,22,3261,3261,0.0,1.0,True,0.0,True
qa,4096,22,2774,2774,0.0,1.0,True,0.0,True
qa,4096,22,3090,3090,0.0,1.0,True,0.0,True
qa,4096,22,3035,3035,0.0,1.0,True,0.0,True
qa,4096,22,3087,3087,0.0,1.0,True,0.0,True
qa,4096,22,3253,3253,0.0,1.0,True,0.0,True
qa,4096,22,3030,3030,0.0,1.0,True,0.0,True
qa,4096,22,3310,3310,0.0,1.0,True,0.0,True
qa,4096,22,3144,3144,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4425,4425,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4426,4426,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4425,4425,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4425,4425,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4423,4423,0.0,1.0,True,0.0,True
niah_single,4096,1,4424,4424,0.0,1.0,True,0.0,True
niah_single,4096,1,4418,4418,0.0,1.0,True,0.0,True
niah_single,4096,1,4417,4417,0.0,1.0,True,0.0,True
niah_single,4096,1,4418,4418,0.0,1.0,True,0.0,True
niah_single,4096,1,4419,4419,0.0,1.0,True,0.0,True
